OrgId,UserId,UserName,IP,SessionId,StatusType,AttemptDate,ImpersonatingUserId,TimeOff,LoginAttemptId
6608,69493,D2LMonitor,172.27.40.180,123946761,Success,2022-05-13T10:18:37.8830000Z,,0,-9223372036716926824
6608,3331,m25w931,216.161.219.139,123925947,Success,2022-05-12T19:53:32.5270000Z,,74151,-9223372036716951777
6608,168190,samantha.gordon1,172.58.139.51,123925074,Success,2022-05-12T19:53:31.2900000Z,,851,-9223372036716951779
6608,163017,d52b627,75.143.213.62,123925929,Success,2022-05-12T19:53:03.1470000Z,,100150,-9223372036716951805
6608,168387,q37j164,192.150.88.66,123925875,Success,2022-05-12T19:52:05.5670000Z,,173701,-9223372036716951872
6608,,q37j164,192.150.88.66,123925875,Invalid Username,2022-05-12T19:51:50.2770000Z,,,-9223372036716951886
6608,184153,r36b286,216.190.56.254,123925869,Success,2022-05-12T19:51:45.6700000Z,,80657,-9223372036716951892
6608,69493,D2LMonitor,172.27.41.42,123925724,Success,2022-05-12T19:48:40.8730000Z,,0,-9223372036716952119
6608,69493,D2LMonitor,172.27.41.42,123925723,Success,2022-05-12T19:48:40.5200000Z,,0,-9223372036716952120
6608,69493,D2LMonitor,172.27.41.42,123925722,Success,2022-05-12T19:48:40.0000000Z,,1,-9223372036716952121
6608,69493,D2LMonitor,172.27.41.42,123925721,Success,2022-05-12T19:48:39.5630000Z,,0,-9223372036716952123
6608,69493,D2LMonitor,172.27.41.42,123925720,Success,2022-05-12T19:48:39.2100000Z,,1,-9223372036716952124
6608,69493,D2LMonitor,172.27.41.42,123925718,Success,2022-05-12T19:48:38.7600000Z,,0,-9223372036716952125
6608,69493,D2LMonitor,172.27.41.42,123925717,Success,2022-05-12T19:48:38.3870000Z,,0,-9223372036716952126
6608,69493,D2LMonitor,172.27.41.42,123925716,Success,2022-05-12T19:48:38.0430000Z,,2,-9223372036716952127
6608,69493,D2LMonitor,172.27.41.42,123925715,Success,2022-05-12T19:48:36.9600000Z,,0,-9223372036716952129
6608,69493,D2LMonitor,172.27.41.42,123925714,Success,2022-05-12T19:48:36.3270000Z,,1,-9223372036716952131
6608,69493,D2LMonitor,172.27.41.42,123925713,Success,2022-05-12T19:48:35.9070000Z,,0,-9223372036716952132
